AnimalsInfo,Species,Breed,Production category,Sex,Date of Birth,Animal ID of Father,Animal ID of Mother,Original Owner Name,Original Owner Mobile ,Original Owner Location _ Lattitude,Original Owner Location _ Longitude
KHM0001001001,Cattle,Guernsey,Dairy,Male,6/5/14,KHM0001000012,KHM0001000023,Yot KhunYozz,820339958,19.872412,99.17162
KHM0001001002,Kiwi,NZ Choice,KFC,Female,9/1/97,KHM0001000013,KHM0001000024,Temmerity,998900336,39.294289,-76.616243
LAO0001001001,Lorax,Florid,Costume Jewelry,Male,9/6/96,KHM0001000014,KHM0001000025,Sammich,(831) 234-0384,36.951727,-122.025597
MMR0001001001,Buffalo,Hippique,Traction,Male,9/5/95,KHM0001000015,KHM0001000026,Drewid,(206) 779-3739,47.6205063,-122.3492774
MMR0001001002,Tiger,Mekong,Hello Kitty,Male,1/1/00,KHM0001000016,KHM0001000027,Davidoff,(510) 220-4567,47.8080346,107.5299363
KHM0001000001,Cattle,,,,,,,,,,
KHM0001000002,Cattle,,,,,,,,,,
KHM0001000003,Cattle,,,,,,,,,,
KHM0001000004,Cattle,,,,,,,,,,
KHM0001000005,Cattle,,,,,,,,,,
KHM0001000006,Cattle,,,,,,,,,,
KHM0001000007,Cattle,,,,,,,,,,
KHM0001000008,Cattle,,,,,,,,,,
KHM0001000009,Cattle,,,,,,,,,,
KHM0001000010,Cattle,,,,,,,,,,
KHM0001000011,Cattle,,,,,,,,,,
KHM0001000012,Cattle,,,,,,,,,,
KHM0001000013,Cattle,,,,,,,,,,
KHM0001000014,Cattle,,,,,,,,,,
KHM0001000015,Cattle,,,,,,,,,,
KHM0001000016,Cattle,,,,,,,,,,
KHM0001000017,Cattle,,,,,,,,,,
KHM0001000018,Cattle,,,,,,,,,,
KHM0001000019,Cattle,,,,,,,,,,
KHM0001000020,Cattle,,,,,,,,,,
KHM0001000021,Cattle,,,,,,,,,,
KHM0001000022,Cattle,,,,,,,,,,
KHM0001000023,Cattle,,,,,,,,,,
KHM0001000024,Cattle,,,,,,,,,,
KHM0001000025,Cattle,,,,,,,,,,
KHM0001000026,Cattle,,,,,,,,,,
KHM0001000027,Cattle,,,,,,,,,,
KHM0001000028,Cattle,,,,,,,,,,
KHM0001000029,Cattle,,,,,,,,,,
KHM0001000030,Cattle,,,,,,,,,,
KHM0001000031,Cattle,,,,,,,,,,
KHM0001000032,Cattle,,,,,,,,,,
KHM0001000033,Cattle,,,,,,,,,,
KHM0001000034,Cattle,,,,,,,,,,
KHM0001000035,Cattle,,,,,,,,,,
KHM0001000036,Cattle,,,,,,,,,,
KHM0001000037,Cattle,,,,,,,,,,
KHM0001000038,Cattle,,,,,,,,,,
KHM0001000039,Cattle,,,,,,,,,,
KHM0001000040,Cattle,,,,,,,,,,
KHM0001000041,Cattle,,,,,,,,,,
KHM0001000042,Cattle,,,,,,,,,,
KHM0001000043,Cattle,,,,,,,,,,
KHM0001000044,Cattle,,,,,,,,,,
KHM0001000045,Cattle,,,,,,,,,,
KHM0001000046,Cattle,,,,,,,,,,
KHM0001000047,Cattle,,,,,,,,,,
